model,cv_accuracy,cv_f1,cv_roc_auc,test_accuracy,test_f1,test_roc_auc
4. CatBoost,0.776208651399491,0.6884541539655308,0.8592766140031676,0.7980671414038657,0.702621722846442,0.8715865946047451
3. Random Forest,0.7837150127226463,0.6792794561976252,0.8515742293420285,0.7884028484231943,0.6744913928012519,0.8567540446807388
5. MLP (SGD/Adam),0.7986005089058523,0.6678106539563734,0.8511482637714145,0.7990844354018312,0.6603611349957008,0.8553233690708824
2. SVM (RBF kernel),0.7544529262086513,0.6714056525217421,0.8437944654930021,0.771617497456765,0.6826855123674912,0.8432242428510232
1. Logistic Regression (L2),0.7232824427480916,0.6338443999418045,0.7929252006402375,0.7355035605289929,0.640387275242047,0.7999131501270473
